created_at,current_price,fluctuation_rate,stock_code,stock_name,trading_volume
2021-03-15 20:43:34,"25,300",+0.60%,001680,대상,"146,455"
2021-03-15 20:43:34,"37,900",-0.66%,079550,LIG넥스원,"92,529"
2021-03-15 20:43:34,"49,300",-1.60%,000150,두산,"36,658"
2021-03-15 20:43:34,"20,150",-1.71%,105630,한세실업,"204,509"
2021-03-15 20:43:34,"90,100",-0.66%,000070,삼양홀딩스,"18,597"
2021-03-15 20:43:34,"14,500",-1.36%,115390,락앤락,"131,770"
2021-03-15 20:43:34,"7,660",-1.67%,002350,넥센타이어,"231,703"
2021-03-15 20:43:34,"20,000",-1.72%,052690,한전기술,"185,011"
2021-03-15 20:43:34,"189,000",-2.07%,049770,동원F&B,"22,210"
2021-03-15 20:43:34,"90,000",+3.21%,003230,삼양식품,"39,413"
2021-03-15 20:43:34,"75,600",+3.28%,108670,LG하우시스,"111,451"
2021-03-15 20:43:34,"34,500",-1.43%,007570,일양약품,"377,878"
2021-03-15 20:43:34,"25,300",+0.60%,018250,애경산업,"56,366"
2021-03-15 20:43:34,"11,050",+1.38%,012630,HDC,"249,703"
2021-03-15 20:43:34,"39,000",+0.39%,006390,한일현대시멘트,"60,187"
2021-03-15 20:43:34,"29,500",-0.67%,001060,JW중외제약,"27,502"
2021-03-15 20:43:34,"59,300",+0.51%,145990,삼양사,"31,458"
2021-03-15 20:43:34,"57,800",+0.52%,005180,빙그레,"35,137"
2021-03-15 20:43:34,"73,400",+0.27%,005610,SPC삼립,"15,017"
2021-03-15 20:43:34,"12,000",+2.56%,009410,태영건설,"153,291"
2021-03-15 20:43:34,"4,150",-1.78%,008350,남선알미늄,"1,625,087"

created_at,current_price,fluctuation_rate,stock_code,stock_name,trading_volume
2021-03-15 21:22:08,"136,500",-2.50%,000660,SK하이닉스,"4,232,119"
2021-03-15 21:22:08,"81,800",-1.21%,005930,삼성전자,"13,541,366"
2021-03-15 21:22:08,"686,000",-0.44%,006400,삼성SDI,"274,397"
2021-03-15 21:22:08,"232,000",-0.22%,005380,현대차,"763,110"
2021-03-15 21:22:08,"479,000",-0.42%,035720,카카오,"343,482"
2021-03-15 21:22:08,"383,000",+0.66%,035420,NAVER,"605,428"
2021-03-15 21:22:08,"735,000",-1.08%,207940,삼성바이오로직스,"58,986"
2021-03-15 21:22:08,"966,000",+2.33%,051910,LG화학,"332,869"
2021-03-15 21:22:08,"85,800",+3.62%,000270,기아차,"5,215,239"
2021-03-15 21:22:08,"302,000",-0.49%,012330,현대모비스,"384,566"
2021-03-15 21:22:08,"308,000",+2.33%,005490,POSCO,"400,495"
2021-03-15 21:22:08,"151,500",-0.66%,066570,LG전자,"807,473"
2021-03-15 21:22:08,"289,000",-2.69%,068270,셀트리온,"463,700"
2021-03-15 21:22:09,"1,580,000",+0.57%,051900,LG생활건강,"24,526"
2021-03-15 21:22:09,"122,500",-0.81%,028260,삼성물산,"301,551"
2021-03-15 21:22:09,"51,200",+1.59%,105560,KB금융,"2,052,600"
2021-03-15 21:22:09,"228,500",-5.77%,096770,SK이노베이션,"1,286,740"
2021-03-15 21:22:09,"257,000",+0.78%,017670,SK텔레콤,"171,322"
2021-03-15 21:22:09,"35,150",+0.57%,055550,신한지주,"1,982,948"
2021-03-15 21:22:09,"251,000",-2.52%,034730,SK,"222,725"
2021-03-15 21:22:09,"930,000",-0.53%,036570,엔씨소프트,"58,635"
2021-03-15 21:22:09,"188,000",+0.80%,018260,삼성에스디에스,"104,861"
2021-03-15 21:22:09,"79,400",+1.93%,032830,삼성생명,"302,999"
2021-03-15 21:22:09,"23,250",+0.22%,015760,한국전력,"1,666,710"
2021-03-15 21:22:09,"91,600",-0.33%,003550,LG,"301,532"
2021-03-15 21:22:09,"191,000",-0.78%,009150,삼성전기,"431,891"
2021-03-15 21:22:09,"226,500",+0.22%,090430,아모레퍼시픽,"93,318"
2021-03-15 21:22:09,"157,500",0.00%,003670,포스코케미칼,"217,071"
2021-03-15 21:22:09,"41,500",-0.24%,086790,하나금융지주,"1,080,081"
2021-03-15 21:22:09,"80,200",-0.25%,033780,KT&G,"466,994"
2021-03-15 21:22:09,"300,500",-0.99%,011170,롯데케미칼,"169,172"
2021-03-15 21:22:09,"120,500",-1.63%,251270,넷마블,"124,153"
2021-03-15 21:22:09,"193,000",-0.52%,000810,삼성화재,"125,256"
2021-03-15 21:22:09,"122,000",+3.83%,009540,한국조선해양,"831,400"
2021-03-15 21:22:09,"17,200",-2.55%,018880,한온시스템,"1,062,753"
2021-03-15 21:22:09,"84,400",-1.29%,010950,S-Oil,"369,332"
2021-03-15 21:22:09,"109,000",+0.46%,326030,SK바이오팜,"404,061"
2021-03-15 21:22:09,"22,200",-2.20%,034220,LG디스플레이,"1,322,319"
2021-03-15 21:22:09,"403,500",0.00%,010130,고려아연,"26,345"
2021-03-15 21:22:09,"218,000",-4.39%,352820,빅히트,"354,111"
2021-03-15 21:22:09,"10,100",-0.49%,316140,우리금융지주,"2,108,799"
2021-03-15 21:22:09,"195,500",-0.76%,086280,현대글로비스,"139,677"
2021-03-15 21:22:09,"21,450",-0.69%,011200,HMM,"5,008,579"
2021-03-15 21:22:09,"27,050",+0.19%,030200,KT,"1,217,791"
2021-03-15 21:22:09,"44,250",+0.34%,009830,한화솔루션,"1,836,831"
2021-03-15 21:22:10,"9,020",+0.67%,024110,기업은행,"2,043,519"
2021-03-15 21:22:10,"214,000",-7.36%,011780,금호석유,"643,782"
2021-03-15 21:22:10,"421,000",+3.31%,097950,CJ제일제당,"68,822"
2021-03-15 21:22:10,"9,560",-0.83%,006800,미래에셋대우,"1,081,996"
2021-03-15 21:22:10,"45,050",-0.99%,161390,한국타이어앤테크놀로지,"147,839"
